CSID,Advising class
6746774,LTS 200B
6768181,LTS 200B
6769169,LTS 200B
7110337,LTS 200B
7162769,LTS 200B
6731869,MATH 160H
6735725,MATH 160H
6764057,MATH 160H
6819161,MATH 160H
6830710,MATH 160H
6925729,MATH 160H
6952576,MATH 160H
7115214,MATH 160H
7162706,MATH 160H
7163540,MATH 160H
7164520,MATH 160H
7167209,MATH 160H
7167232,MATH 160H
7168388,MATH 160H
7169452,MATH 160H
7170264,MATH 160H
7170472,MATH 160H
2494400,MATH 181B
6732250,MATH 181B
6737520,MATH 181B
6737522,MATH 181B
6820056,MATH 181B
7162074,MATH 181B
7168200,MATH 181B
7172497,MATH 181B
2492108,MATH 180C
6733784,MATH 180C
6734878,MATH 180C
6738022,MATH 180C
6768146,MATH 180C
6798544,MATH 180C
6830922,MATH 180C
6831117,MATH 180C
6870332,MATH 180C
7109966,MATH 180C
7110453,MATH 180C
7115346,MATH 180C
7115450,MATH 180C
7125294,MATH 180C
7135792,MATH 180C
7166349,MATH 180C
7167517,MATH 180C
7169460,MATH 180C
7172398,MATH 180C
2489536,MUS 103B
2493296,MUS 103B
6730616,MUS 103B
6733209,MUS 103B
6733433,MUS 103B
6771294,MUS 103B
6921817,MUS 103B
7108576,MUS 103B
7110328,MUS 103B
7124474,MUS 103B
7165794,MUS 103A
6731692,MUS 103A
6732908,MUS 103A
6735142,MUS 103A
6737730,MUS 103A
6739642,MUS 103A
6752529,MUS 103A
6817054,MUS 103A
6829277,MUS 103A
7108577,MUS 103A
7135870,MUS 103A
7167836,MUS 103A
7170465,MUS 103A
6732038,OT 101A
6739098,OT 101A
6739125,OT 101A
6747518,OT 101A
6749340,OT 101A
6830732,OT 101A
6952393,OT 101A
7168188,OT 101A
2491142,OT 101A
6817601,OT 101A
6820972,OT 101A
7109354,OT 101A
7135884,OT 101A
7162322,OT 101A
7162524,OT 101A
7163681,OT 101A
2494265,PG 104A
6730122,PG 104A
6730276,PG 104A
6731138,PG 104A
6737325,PG 104A
6738524,PG 104A
6739593,PG 104A
6743498,PG 104A
6798152,PG 104A
6831224,PG 104A
6837562,PG 104A
6863492,PG 104A
6963529,PG 104A
6972044,PG 104A
7108294,PG 104A
7162432,PG 104A
7163696,PG 104A
2493334,PSYC 101D
6734016,PSYC 101D
6741576,PSYC 101D
6777898,PSYC 101D
6790762,PSYC 101D
6794278,PSYC 101D
6830228,PSYC 101D
6831390,PSYC 101D
6962292,PSYC 101D
6983029,PSYC 101D
7108284,PSYC 101D
7134225,PSYC 101D
7161860,PSYC 101D
7165178,PSYC 101D
7165258,PSYC 101D
7165406,PSYC 101D
7167573,PSYC 101D
7170404,PSYC 101D
7172385,PSYC 101D
6733762,PSYC 101B
6734236,PSYC 101B
6735509,PSYC 101B
6740029,PSYC 101B
6809060,PSYC 101B
6830202,PSYC 101B
6830314,PSYC 101B
6861372,PSYC 101B
6954897,PSYC 101B
7110190,PSYC 101B
7149969,PSYC 101B
7162329,PSYC 101B
7162837,PSYC 101B
7162848,PSYC 101B
7167114,PSYC 101B
7167792,PSYC 101B
7168166,PSYC 101B
7170444,PSYC 101B
7170724,PSYC 101B
7172040,PSYC 101B
2494170,REL 204A
6733184,REL 204A
6735214,REL 204A
6830425,REL 204A
6831357,REL 204A
7110306,REL 204A
7165672,REL 204A
7166398,REL 204A
7167585,REL 204A
7171982,REL 204A
2490006,SOAN 101B
6732129,SOAN 101B
6752473,SOAN 101B
6767662,SOAN 101B
6774153,SOAN 101B
6818629,SOAN 101B
6830166,SOAN 101B
6830776,SOAN 101B
6831006,SOAN 101B
6834509,SOAN 101B
7161856,SOAN 101B
7163050,SOAN 101B
7164033,SOAN 101B
7168521,SOAN 101B
7171974,SOAN 101B
2498564,SPAN 204A
6732532,SPAN 204A
6737832,SPAN 204A
6774598,SPAN 204A
6820862,SPAN 204A
6821185,SPAN 204A
7162749,SPAN 204A
7167588,SPAN 204A
7167800,SPAN 204A
7170178,SPAN 204A
2497592,SSI1 104A
6734672,SSI1 104A
6736077,SSI1 104A
6736160,SSI1 104A
6754228,SSI1 104A
6831060,SSI1 104A
6831473,SSI1 104A
6922485,SSI1 104A
7110212,SSI1 104A
7110605,SSI1 104A
7136001,SSI1 104A
7163485,SSI1 104A
7165690,SSI1 104A
7167220,SSI1 104A
7167577,SSI1 104A
7168264,SSI1 104A
7168322,SSI1 104A
2497934,SSI1 128A
6728098,SSI1 128A
6731992,SSI1 128A
6733246,SSI1 128A
6734230,SSI1 128A
6736201,SSI1 128A
6736770,SSI1 128A
6740456,SSI1 128A
6769136,SSI1 128A
6881461,SSI1 128A
7115166,SSI1 128A
7161842,SSI1 128A
7165460,SSI1 128A
7168093,SSI1 128A
7168490,SSI1 128A
7168592,SSI1 128A
7172192,SSI1 128A
6738025,SSI1 129A
6745476,SSI1 129A
6759520,SSI1 129A
6763918,SSI1 129A
6798009,SSI1 129A
6907850,SSI1 129A
6964096,SSI1 129A
6965122,SSI1 129A
7162753,SSI1 129A
7163052,SSI1 129A
7165380,SSI1 129A
7165424,SSI1 129A
7165604,SSI1 129A
7166040,SSI1 129A
2491862,SSI1 135A
6730193,SSI1 135A
6733034,SSI1 135A
6733732,SSI1 135A
6739421,SSI1 135A
6739782,SSI1 135A
6740672,SSI1 135A
6817861,SSI1 135A
6830721,SSI1 135A
6913996,SSI1 135A
7108473,SSI1 135A
7110186,SSI1 135A
7163108,SSI1 135A
7165162,SSI1 135A
7165477,SSI1 135A
7170269,SSI1 135A
7170613,SSI1 135A
6730272,SSI1 138B
6731552,SSI1 138B
6736170,SSI1 138B
6737684,SSI1 138B
6738773,SSI1 138B
6808640,SSI1 138B
6830682,SSI1 138B
6831413,SSI1 138B
6888356,SSI1 138B
6964418,SSI1 138B
6995426,SSI1 138B
7162733,SSI1 138B
7166354,SSI1 138B
7167313,SSI1 138B
7168246,SSI1 138B
7170520,SSI1 138B
7172432,SSI1 138B
6731873,SSI1 144A
6733837,SSI1 144A
6735718,SSI1 144A
6736220,SSI1 144A
6739366,SSI1 144A
6742562,SSI1 144A
6832628,SSI1 144A
6925397,SSI1 144A
6972848,SSI1 144A
7109178,SSI1 144A
7135812,SSI1 144A
7162694,SSI1 144A
7162774,SSI1 144A
7165709,SSI1 144A
7169774,SSI1 144A
7171988,SSI1 144A
2489152,SSI1 172A
2490778,SSI1 172A
6731728,SSI1 172A
6737729,SSI1 172A
6738144,SSI1 172A
6740953,SSI1 172A
6820304,SSI1 172A
6830482,SSI1 172A
6887682,SSI1 172A
6926952,SSI1 172A
7162249,SSI1 172A
7162809,SSI1 172A
7163662,SSI1 172A
7165321,SSI1 172A
7165625,SSI1 172A
7168213,SSI1 172A
6730541,SSI1 177A
6736428,SSI1 177A
6739120,SSI1 177A
6767206,SSI1 177A
6831381,SSI1 177A
6841589,SSI1 177A
6925736,SSI1 177A
7110469,SSI1 177A
7162701,SSI1 177A
7162754,SSI1 177A
7162770,SSI1 177A
7163454,SSI1 177A
7165370,SSI1 177A
7168241,SSI1 177A
7168544,SSI1 177A
7170966,SSI1 177A
6733094,SSI1 190A
6830293,SSI1 190A
6831262,SSI1 190A
6831442,SSI1 190A
6831533,SSI1 190A
6867833,SSI1 190A
6868626,SSI1 190A
7110508,SSI1 190A
7124536,SSI1 190A
7163612,SSI1 190A
7165213,SSI1 190A
7167858,SSI1 190A
7168396,SSI1 190A
7168408,SSI1 190A
7172368,SSI1 190A
7172424,SSI1 190A
6730214,PG 101A
6732150,PG 101A
6732930,PG 101A
6734645,PG 101A
6734673,PG 101A
6744130,PG 101A
6788546,PG 101A
6797724,PG 101A
7108505,PG 101A
7108689,PG 101A
7110254,PG 101A
7127786,PG 101A
7162233,PG 101A
7162382,PG 101A
7163144,PG 101A
7163590,PG 101A
7166214,PG 101A
7168132,PG 101A
7169858,PG 101A
7171970,PG 101A
6732741,PHYS 121A
6733030,PHYS 121A
6821280,PHYS 121A
6834620,PHYS 121A
7164340,PHYS 121A
7167126,PHYS 121A
7167710,PHYS 121A
7170797,PHYS 121A
6738436,PHYS 121B
6740440,PHYS 121B
6748265,PHYS 121B
6838038,PHYS 121B
6864117,PHYS 121B
6975509,PHYS 121B
7162448,PHYS 121B
7172182,PHYS 121B
6732862,SSI1 195A
6734336,SSI1 195A
6735516,SSI1 195A
6816628,SSI1 195A
6933346,SSI1 195A
7109384,SSI1 195A
7109393,SSI1 195A
7110237,SSI1 195A
7161969,SSI1 195A
7162718,SSI1 195A
7163490,SSI1 195A
7166957,SSI1 195A
6763496,SSI1 195A
7165401,SSI1 195A
7167772,SSI1 195A
6729553,SSI1 195B
6731498,SSI1 195B
6732357,SSI1 195B
6740100,SSI1 195B
6796833,SSI1 195B
6830416,SSI1 195B
6978714,SSI1 195B
7163209,SSI1 195B
7165128,SSI1 195B
7165729,SSI1 195B
6731185,SSI1 195B
6732793,SSI1 195B
6922821,SSI1 195B
6926556,SSI1 195B
7161994,SSI1 195B
7167174,SSI1 195B
