5060639, AFAM101, GERM101, MUS126, CHEM110, SSI1190, PG103, JAPN101, SSI1165
5376006, FREN201, SSI1138, SOAN101, IPE201, ENGL212, CHEM110, MATH160, SSI1129
5051417, REL204, SSI1172, CHEM115, AFAM101, SPAN101, ENGL212, SSI1108, MUS101
5371911, MATH180, REL211, HIST230, PHIL224, BIOL111, PSYC101, MUS101, FREN101
5371912, SPAN101, FREN201, SSI1128, MATH180, BIOL111, CHEM115, BIOL112, ECON170
5373967, AFAM101, SSI1181, OT101, BIOL101, IPE201, PG101, SSI1104, SSI1160
5055504, FREN101, SSI1138, SSI1117, MATH160, SSI1141, MATH180, SSI1118, ARTS101
5051411, SSI1128, JAPN101, MUS105, GERM101, SSI1138, ALC225, SSI1141, MATH181
5231632, BIOL111, SSI1139, CHEM250, CHEM110, SPAN203, SPAN210, IPE201, MATH260
5098514, PG103, SSI1124, MATH280, MUS105, MATH181, SSI1177, ENVR101, SSI1165
5378098, BIOL112, MATH180, SPAN203, HIST224, PSYC265, PG101, OT101, REL211
5332016, SPAN101, SSI1171, GEOL101, MATH181, MATH160, PHIL101, MUS103, MUS101
5050411, SSI1141, SSI1176, SOAN101, PHIL224, COMM170, PG104, MATH280, GERM101
5072939, SPAN101, CHIN101, SSI1108, MUS101, ENVR101, SSI1175, SSI1138, IPE191
1866864, SSI1134, REL212, PG101, BIOL111, CLSC231, IPE201, SSI1128, MATH160
5048354, SSI1124, ARTS101, SSI1112, CSCI161, PSYC101, SPAN101, PG103, SSI1144
5054525, GERM101, CSCI161, MATH181, MATH160, SSI1118, ECON170, PG103, CWLT100
5373991, SSI1124, GERM101, HIST153, CHEM110, MATH160, SOAN101, MATH180, SSI1179
5115960, CHEM110, MUS101, MATH160, ECON170, SPAN201, SSI1117, SSI1187, IPE191
5372968, MATH181, FREN101, MUS103, SSI1129, SSI1141, SSI1176, SSI1104, MATH160
5049399, CHEM110, SSI1176, MATH280, MUS205, SSI1138, MATH180, MATH160, ENGL235
1868897, SSI1112, SSI1176, PG101, CHEM110, ARTH275, BIOL111, SOAN101, SSI1129
5050419, LAT101, MATH160, SPAN201, SSI1138, CHEM110, ECON170, REL204, JAPN101
5377069, SSI1175, GEOL101, REL211, IPE201, SSI1141, PSYC101, MATH160, CHEM110
5343441, MATH280, CSCI161, SSI1187, SPAN201, IPE191, IPE201, FREN210, SSI1104
5123279, SSI1138, SSI1135, SPAN101, ECON170, JAPN201, MATH180, CHEM110, SSI1190
5376211, COMM292, SSI1165, FREN210, JAPN101, CHEM110, SPAN201, ENGL227, GEOL101
5050569, SSI1117, ECON170, PG103, SSI1160, CHEM115, SPAN201, SSI1118, SOAN101
1869972, SSI1141, SPAN204, SSI1108, PG103, CHEM110, SSI1144, PHIL224, JAPN201
5379289, ENGL199, PG101, PSYC101, SSI1138, SSI1118, SSI1177, HIST230, GEOL101
5376217, HIST291, MATH160, SSI1190, ARTS101, SSI1134, SPAN210, CHIN101, CSCI161
5098688, MATH160, PSYC265, MATH290, HIST153, LAT101, ENGL212, GQS201, SPAN201
5221568, SSI1139, MATH180, SSI1128, SSI1134, ECON170, HIST153, STS201, PHYS121
5123295, SSI1171, CHEM115, PG103, SPAN201, BIOL111, MATH160, REL211, SOAN101
5048543, CHEM110, PG103, LTS200, ECON170, SSI1177, PG102, SSI1141, REL234
5376198, PSYC101, GEOL101, SPAN201, COMM181, CLSC211, SSI1134, SSI1195, BIOL111
5193947, ENVR101, CHIN101, SSI1138, LAT101, SOAN101, MATH160, SSI1139, MUS126
5048536, SSI1177, PG102, MUS101, CHEM110, ECON170, SPAN101, PHIL101, SOAN101
5372104, SPAN201, AFAM101, BIOL111, ARTS147, SSI1195, PSYC265, CHEM110, PHIL101
5049556, CLSC211, REL212, SSI1118, CHIN101, SSI1128, PHYS121, MATH180, MUS105
5372107, GEOL101, PHYS121, PG103, CLSC211, CHEM115, CSCI161, ECON170, ENGL212
5379276, ENVR101, MUS101, MATH160, MUS126, IPE201, MATH180, SSI1165, SPAN201
5375218, CLSC211, PG103, SSI1138, ECON170, SSI1118, SSI1134, BIOL111, MATH160
5376242, FREN101, PHIL224, SSI1165, MUS103, ARTS101, SSI1141, HIST291, PG101
5049581, SSI1186, SSI1118, SSI1128, GEOL101, CHEM110, HIST102, SSI1195, SSI1104
5379318, MATH160, MATH180, SSI1141, GEOL101, ECON170, SSI1176, CHEM110, MATH181
