CSID,Class
6731286,CHEM  110 EA
6731286,MATH  160 B
6731286,MATH  160 B
6731286,MATH  160 B
6731286,PE  105 B
6731286,SSI1  176 A
6731381,FREN  240 A
6731381,MATH  260 A
6731381,MUS  126 A
6731381,PE  103 B
6731381,SSI1  139 A
6731390,CHEM  115 A
6731390,CHEM  115 AA
6731390,GERM  101 C
6731390,GERM  101 C
6731390,MATH  180 B
6731390,MATH  180 B
6731390,MUS  168 H
6731390,MUS  288 A
6731390,SSI1  117 A
6731498,BIOL  112 A
6731498,BIOL  112 AB
6731498,GQS  291 A
6731498,PHIL  281 A
6731498,SSI1  195 B
6731540,ARTH  276 A
6731540,CHEM  110 B
6731540,CHEM  110 BB
6731540,FREN  101 D
6731540,FREN  101 D
6731540,SSI1  128 B
6731552,FREN  101 B
6731552,HIST  102 A
6731552,MATH  160 G
6731552,MUS  276 A
6731552,SSI1  138 B
6731593,GQS  201 A
6731593,MATH  160 E
6731593,MATH  160 E
6731593,MATH  160 E
6731593,PSYC  101 A
6731593,SSI1  139 A
6731604,ECON  170 G
6731604,HIST  230 A
6731604,SPAN  101 F
6731604,SPAN  101 F
6731604,SPAN  101 F
6731604,SSI1  134 B
6731618,CHEM  110 C
6731618,CHEM  110 CA
6731618,COMM  292 A
6731618,ECON  170 G
6731618,SPAN  201 E
6731618,SSI1  117 B
6731673,ARTH  275 A
6731673,ARTS  101 A
6731673,CWLT  100 B
6731673,PG  103 D
6731673,SSI1  124 A
6731692,CHEM  110 C
6731692,CHEM  110 CB
6731692,CWLT  100 B
6731692,GERM  101 B
6731692,PE  188 A
6731692,PE  188 B
6731692,SSI1  186 A
6731728,CHEM  110 D
6731728,CHEM  110 DA
6731728,ECON  170 F
6731728,SOAN  101 D
6731728,SSI1  172 A
6731813,BIOL  111 B
6731813,BIOL  111 BC
6731813,CHEM  110 B
6731813,CHEM  110 BB
6731813,CWLT  100 A
6731813,SPAN  201 F
6731813,SSI1  139 A
6731849,CHEM  110 E
6731849,CHEM  110 E
6731849,CHEM  110 EA
6731849,MATH  180 B
6731849,MATH  180 B
6731849,PHIL  101 B
6731849,SSI1  117 B
6731869,CHEM  110 D
6731869,CHEM  110 DA
6731869,HIST  245 A
6731869,MATH  160 H
6731869,MUS  276 A
6731869,PE  125 A
