CSID,Class
6740490,SSI1  186 A
6740545,CHEM  115 A
6740545,CHEM  115 AA
6740545,MUS  105 A
6740545,MUS  276 A
6740545,PG  101 B
6740545,SSI1  138 C
6740573,BIOL  111 A
6740573,BIOL  111 AC
6740573,ENGL  245 A
6740573,GQS  201 A
6740573,SSI1  141 B
6740672,ECON  170 F
6740672,HIST  153 A
6740672,SPAN  101 B
6740672,SPAN  101 B
6740672,SSI1  135 A
6740953,IPE  201 C
6740953,MUS  272 A
6740953,PG  103 D
6740953,PHIL  224 A
6740953,PHIL  224 AB
6740953,SSI1  172 A
6741576,PG  104 B
6741576,PSYC  101 D
6741576,SSI1  128 C
6742562,ECON  170 A
6742562,MATH  160 H
6742562,PE  105 A
6742562,SPAN  101 E
6742562,SPAN  101 E
6742562,SSI1  144 A
6743498,FREN  101 C
6743498,MATH  160 H
6743498,PG  104 A
6743498,SSI1  128 C
6744130,ECON  170 F
6744130,PG  101 A
6744130,PHIL  101 B
6744130,SSI1  141 B
6745476,CSCI  161 C
6745476,CSCI  161 CA
6745476,HIST  102 A
6745476,SPAN  101 G
6745476,SSI1  129 A
6746774,LTS  200 B
6746774,MATH  260 B
6746774,MATH  260 B
6746774,SPAN  201 E
6746774,SSI1  174 A
6747518,CHEM  110 D
6747518,CHEM  110 DB
6747518,MATH  160 B
6747518,MATH  160 B
6747518,MATH  160 B
6747518,OT  101 A
6747518,PE  185 A
6747518,SPAN  201 F
6747518,SSI1  128 B
6748265,MATH  180 D
6748265,MATH  180 D
6748265,PHYS  121 B
6748265,PHYS  121 B
6748265,PHYS  121 DD
6748265,SSI1  165 A
6749340,CHEM  110 E
6749340,CHEM  110 E
6749340,CHEM  110 EB
6749340,MATH  160 B
6749340,MATH  160 B
6749340,MATH  160 B
6749340,OT  101 A
6749340,SSI1  139 A
6752473,MATH  160 E
6752473,MATH  160 E
6752473,MATH  160 E
6752473,PHIL  101 B
6752473,SOAN  101 B
6752473,SSI1  186 A
6752529,BIOL  111 C
6752529,BIOL  111 CC
6752529,CHEM  110 A
6752529,CHEM  110 AA
6752529,MUS  276 A
6752529,SSI1  165 A
6753053,CLSC  211 A
6753053,CSCI  161 C
6753053,CSCI  161 CA
6753053,PE  102 A
6753053,SSI1  144 A
6753412,GERM  101 B
6753412,HIST  230 A
6753412,PG  104 B
6753412,SSI1  141 C
6754228,BIOL  112 B
6754228,BIOL  112 BA
6754228,CHEM  110 A
6754228,CHEM  110 CA
6754228,SSI1  104 A
6757689,COMM  181 A
6757689,CSCI  161 B
6757689,CSCI  161 BA
6757689,SSI1  128 C
6757700,ARTH  276 A
6757700,BIOL  111 A
6757700,BIOL  111 AA
6757700,SSI1  181 A
6757718,HIST  245 A
6757718,HIST  291 B
6757718,JAPN  101 A
6757718,SSI1  141 C
6759520,FREN  101 D
6759520,FREN  101 D
6759520,MATH  180 F
6759520,MATH  180 F
6759520,PE  103 B
6759520,PSYC  101 C
6759520,SSI1  129 A
6759856,BIOL  111 C
6759856,BIOL  111 CA
6759856,CHEM  110 B
6759856,CHEM  110 BB
6759856,MATH  160 I
6759856,MATH  160 I
6759856,SSI1  165 A
6760378,COMM  170 A
6760378,MATH  160 C
6760378,MATH  160 C
6760378,MUS  109 A
6760378,MUS  280 A
6760378,SSI1  138 A
6763496,CHEM  110 E
6763496,CHEM  110 E
6763496,CHEM  110 EB
6763496,MUS  101 B
6763496,MUS  103 A
6763496,PHIL  281 A
6763496,SSI1  195 B
6763918,PG  102 A
6763918,PSYC  101 A
6763918,REL  202 A
6763918,SSI1  129 A
6763954,CHEM  115 A
6763954,CHEM  115 AA
6763954,CLSC  211 A
6763954,LAT  101 A
6763954,PE  107 A
6763954,SSI1  104 B
6764214,BUS  101 A
6764214,ECON  170 B
6764214,MUS  270 A
6764214,SPAN  201 A
6764214,SSI1  134 B
6765072,JAPN  201 A
6765072,JAPN  201 A
6765072,PE  114 A
6765072,PG  103 D
6765072,REL  234 A
6765072,SSI1  138 C
6767206,AFAM  101 A
6767206,LAT  101 A
6767206,SOAN  101 D
6767206,SSI1  177 A
6767212,GEOL  101 B
6767212,GEOL  101 BA
6767212,MATH  180 B
6767212,MATH  180 B
6767212,SPAN  201 F
6767212,SSI1  175 B
6767662,AFAM  101 B
6767662,FREN  101 C
6767662,SOAN  101 B
6767662,SSI1  118 B
6768146,CHEM  110 A
6768146,CHEM  110 AB
6768146,MATH  180 C
6768146,MATH  180 C
6768146,PE  185 A
6768146,SPAN  101 E
6768146,SPAN  101 E
6768146,SSI1  118 B
6768181,LTS  200 B
6768181,MATH  180 F
6768181,MATH  180 F
6768181,PHYS  121 A
6768181,PHYS  121 FF
6768181,SSI1  112 A
6769136,AFAM  101 B
6769136,ENGL  212 B
6769136,GEOL  101 A
6769136,GEOL  101 AC
6769136,SSI1  128 A
6769169,IPE  201 B
6769169,LTS  200 B
6769169,SPAN  204 B
6769169,SSI1  160 A
6771233,ENGL  245 A
6771233,HIST  230 A
6771233,MUS  280 A
6771233,PG  104 B
6771233,SSI1  179 A
6771294,GERM  101 B
6771294,MUS  101 A
6771294,MUS  103 B
6771294,MUS  270 A
6771294,PG  103 B
6771294,SSI1  160 A
6773228,BUS  101 A
6773228,ECON  170 B
6773228,HIST  153 A
6773228,SPAN  101 E
6773228,SPAN  101 E
6773228,SSI1  175 A
6773944,CSCI  161 B
6773944,CSCI  161 BA
6773944,JAPN  101 B
6773944,MATH  110 A
6773944,SSI1  141 B
6774153,ECON  170 C
6774153,PE  103 A
6774153,SOAN  101 B
6774153,SPAN  101 G
6774153,SSI1  112 A
6774598,LAS  100 A
6774598,PG  103 C
6774598,SPAN  204 A
6774598,SSI1  134 A
6777898,CHIN  101 B
6777898,CHIN  101 CC
6777898,MATH  260 A
6777898,PSYC  101 D
6777898,SSI1  118 B
6785168,ECON  170 A
6785168,PE  103 A
6785168,SPAN  201 B
6785168,SPAN  201 B
6785168,SSI1  112 A
6786372,HIST  230 A
6786372,MATH  280 B
6786372,MATH  280 B
6786372,MATH  290 B
6786372,MATH  290 B
6786372,MATH  290 B
6786372,SSI1  134 A
6788546,ECON  170 F
6788546,PG  101 A
6788546,SPAN  300 A
6788546,SSI1  176 B
6789002,CHEM  110 E
6789002,CHEM  110 E
6789002,CHEM  110 EA
6789002,MATH  181 A
6789002,MATH  181 A
6789002,MATH  181 A
6789002,MUS  276 A
6789002,PE  188 A
6789002,PE  188 B
6789002,SSI1  171 A
6790762,CLSC  231 A
6790762,FREN  101 D
6790762,FREN  101 D
6790762,PSYC  101 D
6790762,SSI1  134 A
6792352,CHIN  101 B
6792352,CHIN  101 CC
6792352,CLSC  211 A
6792352,ENGL  199 A
6792352,ENGL  212 C
6792352,SSI1  104 B
6794090,CSCI  161 AA
6794090,CSCI  161 B
6794090,ECON  170 E
6794090,SOAN  101 D
6794090,SSI1  187 A
6794278,GERM  201 B
6794278,MUS  101 A
6794278,MUS  103 A
6794278,PSYC  101 D
6794278,SSI1  171 A
6795389,ECON  170 G
6795389,MATH  180 A
6795389,PHYS  121 A
6795389,PHYS  121 EE
6795389,SSI1  141 B
6796833,IPE  191 A
6796833,MATH  160 A
6796833,MATH  160 A
6796833,PHIL  281 A
6796833,SPAN  300 B
6796833,SSI1  195 B
6797486,BIOL  112 A
6797486,BIOL  112 AB
6797486,CHEM  110 A
6797486,CHEM  110 AA
6797486,MATH  181 B
6797486,MATH  181 B
6797486,PE  103 A
6797486,SSI1  181 A
6797724,CHEM  110 A
6797724,CHEM  110 AB
6797724,MATH  160 J
6797724,MATH  160 J
6797724,PG  101 A
6797724,SSI1  181 A
6798009,ECON  170 E
6798009,GERM  101 B
6798009,MATH  160 H
6798009,SSI1  129 A
6798018,BUS  101 A
6798018,ECON  170 B
6798018,PG  103 D
6798018,SPAN  203 A
6798018,SPAN  203 A
6798018,SSI1  187 A
6798152,ECON  170 D
6798152,GERM  101 A
6798152,PG  104 A
6798152,SSI1  141 C
6798250,CHEM  110 A
6798250,CHEM  110 AA
6798250,GEOL  101 B
6798250,GEOL  101 BA
6798250,HIST  102 A
6798250,PE  102 A
6798250,SSI1  165 A
6798544,CHEM  250 D
6798544,CHEM  250 D
6798544,CHEM  250 II
6798544,MATH  180 C
6798544,MATH  180 C
6798544,MUS  270 A
6798544,SSI1  124 A
6808640,COMM  181 A
6808640,ENGL  212 B
6808640,PHIL  224 A
6808640,PHIL  224 AB
6808640,SSI1  138 B
6808766,HIST  153 A
6808766,PE  102 A
6808766,PHIL  229 A
6808766,SSI1  138 A
6809060,CHEM  110 A
6809060,CHEM  110 AB
6809060,PE  107 A
6809060,PHIL  101 B
6809060,PSYC  101 B
6809060,SSI1  139 A
6815889,CHEM  110 A
6815889,CHEM  110 AA
6815889,CSCI  161 AA
6815889,CSCI  161 B
6815889,MATH  160 F
6815889,MUS  272 A
6815889,SSI1  117 A
6816628,CHEM  250 D
6816628,CHEM  250 D
6816628,CHEM  250 II
6816628,FREN  201 A
6816628,SSI1  195 A
6817054,CHEM  115 A
6817054,CHEM  115 AB
6817054,MUS  101 D
6817054,MUS  103 A
6817054,MUS  109 A
6817054,MUS  270 A
6817054,SPAN  201 B
6817054,SPAN  201 B
6817054,SSI1  175 B
6817601,CHEM  110 F
6817601,CHEM  110 F
6817601,CHEM  110 FA
6817601,GQS  201 B
6817601,OT  101 A
6817601,SOAN  101 B
6817601,SSI1  181 A
6817861,CHEM  110 C
6817861,CHEM  110 CB
6817861,FREN  101 B
6817861,SSI1  135 A
6817900,CLSC  211 A
6817900,ENGL  212 C
6817900,IPE  201 C
6817900,SSI1  138 C
6818062,BIOL  111 C
6818062,BIOL  111 CC
6818062,COMM  170 A
6818062,PG  101 A
6818062,SSI1  128 B
6818089,BUS  101 A
6818089,ECON  170 B
6818089,PG  101 B
6818089,SPAN  203 A
6818089,SPAN  203 A
6818089,SSI1  175 B
6818629,MATH  260 B
6818629,MATH  260 B
6818629,PE  107 A
6818629,SOAN  101 B
6818629,SPAN  101 E
6818629,SPAN  101 E
6818629,SSI1  118 A
6820056,CHEM  110 F
6820056,CHEM  110 F
6820056,CHEM  110 FB
6820056,MATH  181 B
6820056,MATH  181 B
6820056,MUS  126 A
6820056,MUS  288 A
6820056,SSI1  117 A
6820304,AFAM  101 A
6820304,ECON  170 D
6820304,PE  107 A
6820304,SSI1  172 A
6820590,CHEM  110 A
6820590,CHEM  110 AB
6820590,CHIN  101 B
6820590,CHIN  101 CC
6820590,ECON  170 G
6820590,SSI1  176 B
6820862,CHEM  115 A
6820862,CHEM  115 AA
6820862,LTS  200 B
6820862,SPAN  201 B
6820862,SPAN  201 B
6820862,SSI1  141 C
6820972,CHEM  110 G
6820972,CHEM  110 G
6820972,CHEM  110 GA
6820972,HIST  153 A
6820972,OT  101 A
6820972,PE  103 B
6820972,SSI1  186 A
6821185,HIST  230 A
6821185,PG  102 C
6821185,SPAN  204 A
6821185,SSI1  117 A
6821280,IPE  191 A
6821280,MATH  180 F
6821280,MATH  180 F
6821280,PE  107 A
6821280,PHYS  121 A
6821280,PHYS  121 DD
6821280,SSI1  139 A
6829277,GERM  101 C
6829277,GERM  101 C
6829277,MUS  101 D
6829277,MUS  103 A
6829277,MUS  109 A
6829277,MUS  168 E
6829277,MUS  270 A
6829277,SSI1  108 A
6830016,COMM  170 A
6830016,FREN  101 A
6830016,PG  102 C
6830016,SSI1  124 A
6830108,ECON  170 F
6830108,GEOL  101 B
6830108,GEOL  101 BA
6830108,MATH  180 B
6830108,MATH  180 B
6830108,SSI1  165 A
6830166,BIOL  111 C
6830166,BIOL  111 CB
6830166,PHIL  101 A
6830166,SOAN  101 B
6830166,SSI1  124 A
6830202,AFAM  101 B
6830202,HIST  153 A
6830202,PSYC  101 B
6830202,SSI1  134 A
6830228,BIOL  111 C
6830228,BIOL  111 CC
6830228,FREN  201 A
6830228,PSYC  101 D
6830228,SSI1  134 B
6830293,HIST  291 B
6830293,PE  158 A
6830293,PHIL  281 A
6830293,SPAN  201 F
6830293,SSI1  190 A
6830314,CHEM  110 E
6830314,CHEM  110 E
6830314,CHEM  110 EB
6830314,PHIL  215 A
6830314,PSYC  101 B
6830314,SSI1  141 A
6830400,AFAM  210 A
6830400,FREN  240 B
6830400,MUS  230 A
6830400,MUS  288 A
6830400,SSI1  175 B
6830416,GERM  101 C
6830416,GERM  101 C
6830416,MUS  101 B
6830416,MUS  103 A
6830416,MUS  109 A
6830416,MUS  276 A
6830416,PHIL  229 A
6830416,SSI1  195 B
6830418,CHEM  110 E
6830418,CHEM  110 E
6830418,CHEM  110 EA
6830418,PSYC  101 C
6830418,SPAN  101 B
6830418,SPAN  101 B
6830418,SSI1  118 B
6830425,CHIN  101 A
6830425,CHIN  101 DD
6830425,HIST  153 A
6830425,REL  204 A
6830425,SSI1  175 A
6830429,BIOL  111 C
6830429,BIOL  111 CB
6830429,CHEM  110 B
6830429,CHEM  110 BA
6830429,JAPN  101 A
6830429,MUS  288 A
6830429,SSI1  171 A
6830482,BIOL  111 A
6830482,BIOL  111 AC
6830482,CHEM  115 A
6830482,CHEM  115 AB
6830482,ENGL  199 A
6830482,ENGL  212 B
6830482,SSI1  172 A
6830682,FREN  101 B
6830682,PHIL  224 A
6830682,PHIL  224 AB
6830682,SSI1  138 B
6830682,THTR  215 A
6830682,THTR  215 AA
6830710,CHEM  110 G
6830710,CHEM  110 G
6830710,CHEM  110 GA
6830710,MATH  160 H
6830710,SPAN  101 F
6830710,SPAN  101 F
6830710,SPAN  101 F
6830710,SSI1  175 B
6830721,LAS  100 A
6830721,MATH  180 E
6830721,MATH  180 E
6830721,SPAN  201 E
6830721,SSI1  135 A
6830725,GQS  201 A
6830725,PG  101 B
6830725,SPAN  201 F
6830725,SSI1  118 A
6830732,CHIN  101 A
6830732,CHIN  101 CC
6830732,MATH  160 F
6830732,OT  101 A
6830732,PE  158 A
6830732,SSI1  112 A
6830737,BIOL  112 A
6830737,BIOL  112 AB
6830737,CHEM  110 G
6830737,CHEM  110 G
6830737,CHEM  110 GB
6830737,SPAN  201 F
6830737,SSI1  181 A
6830776,PE  102 A
6830776,SOAN  101 B
6830776,SPAN  101 B
6830776,SPAN  101 B
6830776,SSI1  160 A
6830922,CHEM  110 A
6830922,CHEM  110 BA
6830922,MATH  180 C
6830922,MATH  180 C
6830922,REL  212 A
6830922,SSI1  108 A
6830970,ECON  170 A
6830970,PE  185 A
6830970,PG  103 A
6830970,SPAN  201 E
6830970,SSI1  134 B
6831006,ENGL  199 A
6831006,GERM  101 A
6831006,HIST  291 B
6831006,SOAN  101 B
6831006,SSI1  118 A
6831038,COMM  170 A
6831038,PE  150 A
6831038,PE  185 A
6831038,PG  102 B
6831038,SSI1  139 A
6831060,IPE  201 B
6831060,PHIL  224 A
6831060,PHIL  224 AB
6831060,SSI1  104 A
6831072,CHEM  110 D
6831072,CHEM  110 DB
6831072,ECON  170 A
6831072,HIST  102 A
6831072,PE  107 A
6831072,SSI1  117 B
6831117,CHEM  110 B
6831117,CHEM  110 BB
6831117,MATH  180 C
6831117,MATH  180 C
6831117,PE  103 B
6831117,SSI1  112 A
6831209,ARAB  101 A
6831209,ARAB  101 A
6831209,COMM  170 A
6831209,IPE  201 A
6831209,SSI1  187 A
6831224,MATH  160 J
6831224,MATH  160 J
6831224,PG  104 A
6831224,SSI1  104 B
6831262,ECON  170 F
6831262,FREN  201 B
6831262,MATH  160 I
6831262,MATH  160 I
6831262,SSI1  190 A
6831286,HIST  230 A
6831286,HIST  245 A
6831286,SSI1  179 A
6831293,CHIN  201 A
6831293,CHIN  201 EE
6831293,COMM  170 A
6831293,PE  107 A
6831293,SSI1  176 A
6831357,MUS  105 A
6831357,PSYC  265 A
6831357,REL  204 A
6831357,SSI1  174 A
6831381,ARTS  147 A
6831381,ECON  170 E
6831381,SSI1  177 A
6831381,THAI  101 A
6831390,FREN  201 A
6831390,IPE  201 A
6831390,PSYC  101 D
6831390,SSI1  186 A
6831413,ENGL  212 C
6831413,SOAN  101 D
6831413,SPAN  101 D
6831413,SPAN  101 D
6831413,SSI1  138 B
6831442,MUS  101 B
6831442,MUS  103 A
6831442,PHYS  205 A
6831442,PHYS  205 AA
6831442,SSI1  190 A
6831442,STS  201 A
6831473,MATH  160 A
6831473,MATH  160 A
6831473,PG  102 C
6831473,SPAN  101 B
6831473,SPAN  101 B
6831473,SSI1  104 A
6831530,ALC  225 A
6831530,ENGL  245 A
6831530,JAPN  101 A
6831530,SSI1  124 A
6831533,CHEM  110 B
6831533,CHEM  110 BB
6831533,PE  103 B
6831533,SPAN  201 D
6831533,SPAN  201 D
6831533,SSI1  190 A
6832628,BIOL  101 A
6832628,BIOL  101 AC
6832628,COMM  292 A
6832628,CWLT  100 B
6832628,IPE  201 C
6832628,SSI1  144 A
6833433,CHEM  110 D
6833433,CHEM  110 DB
6833433,CLSC  211 A
6833433,LAT  101 A
6833433,SSI1  141 C
6834509,PG  103 A
6834509,SOAN  101 B
6834509,SPAN  201 D
6834509,SPAN  201 D
6834509,SSI1  117 A
6834620,MATH  181 C
6834620,MATH  181 C
6834620,PHYS  121 A
6834620,PHYS  121 DD
6834620,SPAN  101 A
6834620,SPAN  101 A
6834620,SSI1  118 B
6835920,ENVR  101 A
6835920,ENVR  101 AA
6835920,IPE  201 C
6835920,MATH  160 J
6835920,MATH  160 J
6835920,SSI1  165 A
6836025,CHEM  110 E
6836025,CHEM  110 E
6836025,CHEM  110 EA
6836025,ENVR  101 A
6836025,ENVR  101 AA
6836025,MUS  101 A
6836025,MUS  103 A
6836025,MUS  168 A
6836025,MUS  270 A
6836025,SSI1  124 A
6837562,GERM  101 C
6837562,GERM  101 C
6837562,PG  103 A
6837562,PG  104 A
6837562,SSI1  141 A
6838038,MATH  180 D
6838038,MATH  180 D
6838038,PHYS  121 B
6838038,PHYS  121 B
6838038,PHYS  121 DD
6838038,SOAN  101 D
6838038,SSI1  174 A
6838538,CHEM  110 E
6838538,CHEM  110 E
6838538,CHEM  110 EB
6838538,JAPN  101 A
6838538,SSI1  141 B
6841589,BIOL  111 A
6841589,BIOL  111 AA
6841589,CWLT  100 B
6841589,PE  107 A
6841589,SPAN  203 A
6841589,SPAN  203 A
6841589,SSI1  177 A
6842201,COMM  170 A
6842201,LAS  100 A
6842201,SSI1  186 A
6860897,ARTS  101 A
6860897,MATH  160 E
6860897,MATH  160 E
6860897,MATH  160 E
6860897,SPAN  101 H
6860897,SSI1  186 A
6861372,AFAM  101 B
6861372,MUS  274 A
6861372,PSYC  101 B
6861372,SPAN  201 D
6861372,SPAN  201 D
6861372,SSI1  174 A
6862052,ECON  170 G
6862052,PG  103 B
6862052,SSI1  108 A
6863492,CHEM  110 C
6863492,CHEM  110 CB
6863492,PG  104 A
6863492,SPAN  201 F
6863492,SSI1  175 A
6864117,MATH  180 B
6864117,MATH  180 B
6864117,MUS  105 A
6864117,PHYS  121 B
6864117,PHYS  121 B
6864117,PHYS  121 DD
6864117,SSI1  108 A
6865138,BIOL  112 A
6865138,BIOL  112 AB
6865138,CHEM  110 A
6865138,CHEM  110 AA
6865138,MATH  180 B
6865138,MATH  180 B
6865138,SSI1  128 C
6867833,ENGL  212 C
6867833,MATH  160 I
6867833,MATH  160 I
6867833,MUS  105 A
6867833,SSI1  190 A
6868124,CHEM  110 A
6868124,CHEM  110 EA
6868124,PHYS  121 B
6868124,PHYS  121 B
6868124,PHYS  121 FF
6868124,SPAN  203 A
6868124,SPAN  203 A
6868124,SSI1  128 B
6868626,ECON  170 E
6868626,ENGL  245 A
6868626,MATH  180 D
6868626,MATH  180 D
6868626,MUS  276 A
6868626,SSI1  190 A
6870332,CHEM  110 F
6870332,CHEM  110 F
6870332,CHEM  110 FB
6870332,CLSC  231 A
6870332,MATH  180 C
6870332,MATH  180 C
6870332,SSI1  138 A
6870368,CHEM  110 E
6870368,CHEM  110 E
6870368,CHEM  110 EA
6870368,MATH  180 D
6870368,MATH  180 D
6870368,SPAN  201 B
6870368,SPAN  201 B
6870368,SSI1  117 A
6871317,ECON  170 G
6871317,HIST  153 A
6871317,MUS  276 A
6871317,SPAN  101 B
6871317,SPAN  101 B
6871317,SSI1  141 C
6874578,ARTH  276 A
6874578,FREN  101 A
6874578,HIST  102 A
6874578,SSI1  139 A
6875590,ENVR  101 A
6875590,ENVR  101 AA
6875590,PE  102 A
6875590,PG  103 A
6875590,SSI1  134 A
6881461,ECON  170 E
6881461,MATH  160 A
6881461,MATH  160 A
6881461,PE  103 B
6881461,SPAN  101 F
6881461,SPAN  101 F
6881461,SPAN  101 F
6881461,SSI1  128 A
6884804,CSCI  161 B
6884804,CSCI  161 BA
6884804,ECON  170 F
6884804,SPAN  101 A
6884804,SPAN  101 A
6884804,SSI1  160 A
6887682,MATH  181 A
6887682,MATH  181 A
6887682,MATH  181 A
6887682,PG  101 B
6887682,SPAN  300 A
6887682,SSI1  172 A
6888356,COMM  181 A
6888356,LAT  101 B
6888356,LAT  101 B
6888356,MATH  160 E
6888356,MATH  160 E
6888356,MATH  160 E
6888356,SSI1  138 B
6892334,CHEM  110 E
6892334,CHEM  110 E
6892334,CHEM  110 EA
6892334,JAPN  301 A
6892334,MATH  181 A
6892334,MATH  181 A
6892334,MATH  181 A
6892334,SSI1  124 A
6907526,CHEM  115 A
6907526,CHEM  115 AA
6907526,ECON  170 A
6907526,PE  107 A
6907526,SSI1  115 A
6907850,BIOL  111 A
6907850,BIOL  111 AB
6907850,MATH  160 H
6907850,SPAN  101 E
6907850,SPAN  101 E
6907850,SSI1  129 A
6910509,ECON  170 A
6910509,PE  130 A
6910509,PG  104 B
6910509,SPAN  101 H
6910509,SSI1  115 A
6913996,BIOL  112 B
6913996,BIOL  112 BB
6913996,CHEM  110 B
6913996,CHEM  110 BA
6913996,SSI1  135 A
6913996,THTR  200 A
6921817,CHEM  115 A
6921817,CHEM  115 AA
6921817,MATH  181 B
6921817,MATH  181 B
6921817,MUS  101 D
6921817,MUS  103 B
6921817,MUS  109 A
6921817,MUS  168 A
6921817,MUS  270 A
6921817,SSI1  128 C
6922821,CHEM  115 A
6922821,CHEM  115 AB
6922821,MATH  181 A
6922821,MATH  181 A
6922821,MATH  181 A
6922821,SPAN  201 H
6922821,SSI1  195 B
6925262,COMM  170 A
6925262,FREN  101 B
6925262,SSI1  124 A
6925352,ECON  170 G
6925352,IPE  201 B
6925352,SSI1  134 B
6925397,MATH  160 H
6925397,PG  101 B
6925397,PHYS  109 A
6925397,PHYS  109 AA
6925397,SSI1  144 A
6925729,CHEM  110 C
6925729,CHEM  110 CA
6925729,ECON  170 E
6925729,MATH  160 H
6925729,PE  104 A
6925729,SSI1  138 C
6925736,CLSC  231 A
6925736,LTS  200 A
6925736,SOAN  202 A
6925736,SSI1  177 A
6926556,BUS  101 A
6926556,CHEM  110 F
6926556,CHEM  110 F
6926556,CHEM  110 FA
6926556,ECON  170 B
6926556,SPAN  300 A
6926556,SSI1  195 A
6926952,BIOL  111 A
6926952,BIOL  111 AA
6926952,CHEM  115 A
6926952,CHEM  115 AA
6926952,MUS  101 A
6926952,MUS  103 A
6926952,SSI1  172 A
6933346,ARAB  101 A
6933346,ARAB  101 A
6933346,PG  102 B
6933346,SSI1  195 A
6939808,CSCI  161 C
6939808,CSCI  161 CA
6939808,HIST  245 A
6939808,JAPN  101 A
6939808,SSI1  138 A
6951545,CHEM  110 D
6951545,CHEM  110 GB
6951545,ECON  170 G
6951545,PE  105 A
6951545,SPAN  101 E
6951545,SPAN  101 E
6951545,SSI1  118 B
6951812,ARTS  101 A
6951812,ECON  170 E
6951812,ENGL  212 C
6951812,SSI1  118 A
6952393,CHEM  110 F
6952393,CHEM  110 F
6952393,CHEM  110 FB
6952393,MATH  160 H
6952393,OT  101 A
6952393,SPAN  101 D
6952393,SPAN  101 D
6952393,SSI1  141 A
6952576,ECON  170 E
6952576,MATH  160 H
6952576,SPAN  201 F
6952576,SSI1  139 A
6954897,PSYC  101 B
6954897,SPAN  101 E
6954897,SPAN  101 E
6954897,SSI1  176 B
6955389,BUS  101 A
6955389,ECON  170 B
6955389,PE  185 A
6955389,PG  103 C
6955389,SPAN  300 B
6955389,SSI1  118 B
6957520,BIOL  111 C
6957520,BIOL  111 CA
6957520,CHEM  110 E
6957520,CHEM  110 E
6957520,CHEM  110 EB
6957520,LAT  101 A
6957520,SSI1  118 B
6957642,CHEM  115 A
6957642,CHEM  115 AA
6957642,FREN  210 A
6957642,MATH  180 C
6957642,MATH  180 C
6957642,SSI1  117 B
6958782,CHEM  110 E
6958782,CHEM  110 E
6958782,CHEM  110 GA
6958782,MATH  180 A
6958782,MUS  284 A
6958782,SPAN  101 H
6958782,SSI1  165 A
6959750,COMM  181 A
6959750,ENGL  245 A
6959750,GQS  201 A
6959750,SSI1  138 A
6961094,CHEM  110 E
6961094,CHEM  110 E
6961094,CHEM  110 EA
6961094,GERM  101 A
6961094,HIST  224 A
6961094,SSI1  171 A
6961094,THTR  291 A
6962090,BIOL  111 C
6962090,BIOL  111 CA
6962090,CHEM  110 B
6962090,CHEM  110 BB
6962090,SPAN  101 C
6962090,SSI1  160 A
6962292,PSYC  101 D
6962292,REL  211 A
6962292,SSI1  141 A
6962292,STS  201 A
6963358,ALC  225 A
6963358,BIOL  112 A
6963358,BIOL  112 AB
6963358,CHEM  110 G
6963358,CHEM  110 G
6963358,CHEM  110 GB
6963358,SSI1  181 A
6963529,CHIN  201 A
6963529,CHIN  201 GG
6963529,MATH  160 C
6963529,MATH  160 C
6963529,PG  104 A
6963529,SSI1  160 A
6964096,CLSC  211 A
6964096,CSCI  161 C
6964096,CSCI  161 CA
6964096,JAPN  101 B
6964096,SSI1  129 A
6964418,ENGL  227 B
6964418,FREN  101 D
6964418,FREN  101 D
6964418,MATH  160 E
6964418,MATH  160 E
6964418,MATH  160 E
6964418,SSI1  138 B
6965122,MATH  160 B
6965122,MATH  160 B
6965122,MATH  160 B
6965122,MUS  101 B
6965122,MUS  103 B
6965122,MUS  280 A
6965122,SOAN  101 C
6965122,SSI1  129 A
6968029,CSCI  161 AA
6968029,CSCI  161 B
6968029,MATH  180 A
6968029,PHYS  121 B
6968029,PHYS  121 B
6968029,PHYS  121 FF
6968029,SSI1  108 A
6972044,HIST  102 A
6972044,PE  185 A
6972044,PG  103 C
6972044,PG  104 A
6972044,SSI1  179 A
6972848,ARAB  101 A
6972848,ARAB  101 A
6972848,IPE  201 A
6972848,PG  102 C
6972848,SSI1  144 A
6975509,ENGL  212 C
6975509,MATH  180 B
6975509,MATH  180 B
6975509,PHYS  121 B
6975509,PHYS  121 B
6975509,PHYS  121 DD
6975509,SSI1  181 A
6976416,GEOL  101 B
6976416,GEOL  101 BA
6976416,MATH  110 A
6976416,PE  107 A
6976416,SOAN  101 D
6976416,SSI1  175 B
6978714,GERM  101 C
6978714,GERM  101 C
6978714,MATH  290 A
6978714,MATH  290 A
6978714,MATH  295 A
6978714,MUS  168 A
6978714,PHYS  221 A
6978714,PHYS  221 AB
6978714,SSI1  195 B
6980917,BIOL  111 C
6980917,BIOL  111 CA
6980917,CHEM  110 B
6980917,CHEM  110 BA
6980917,JAPN  101 B
6980917,SSI1  165 A
6983029,BIOL  111 A
6983029,BIOL  111 AB
6983029,PSYC  101 D
6983029,SSI1  175 A
6987582,BIOL  111 B
6987582,BIOL  111 BC
6987582,MATH  180 F
6987582,MATH  180 F
6987582,SPAN  201 F
6987582,SSI1  134 B
6987882,CHEM  110 E
6987882,CHEM  110 E
6987882,CHEM  110 EA
6987882,PE  102 A
6987882,SOAN  102 B
6987882,SPAN  101 B
6987882,SPAN  101 B
6987882,SSI1  134 A
6995309,BIOL  111 B
6995309,BIOL  111 BC
6995309,CHEM  110 D
6995309,CHEM  110 DB
6995309,MATH  160 B
6995309,MATH  160 B
